topic,ai_known_title,ai_known_channel,status
JavaScript Event Loop,What the heck is the event loop anyway?,JSConf,DONE
Consistent Hashing,Consistent Hashing,ByteByteGo,DONE
Pointers in C/C++,Introduction to pointers in C/C++,mycodeschool,DONE
CSS Flexbox,Learn Flexbox In 15 Minutes,Web Dev Simplified,DONE
CSS Grid,Learn CSS Grid In 20 Minutes,Web Dev Simplified,DONE
React useEffect Hook,Learn useEffect In 13 Minutes,Web Dev Simplified,DONE
Docker Basics,Docker Crash Course for Absolute Beginners,Programming with Mosh,DONE
Understanding Neural Networks,But what is a neural network?,3Blue1Brown,DONE
Eigenvectors and Eigenvalues,Eigenvectors and eigenvalues,3Blue1Brown,DONE
Fourier Transform,But what is the Fourier Transform?,3Blue1Brown,DONE
Taylor Series Remainder,Taylor polynomial remainder (part 1),Khan Academy,DONE
Dijkstra's Algorithm,Dijkstra's Algorithm,Computerphile,DONE
B-Trees vs B+ Trees,B-tree vs B+ tree in Database Systems,Hussein Nasser,DONE
Hash Tables,Data Structures: Hash Tables,HackerRank,DONE
Dynamic Programming Basics,What Is Dynamic Programming and How To Use It,CS Dojo,DONE
REST API Concepts,What is a REST API?,IBM Technology,DONE
OAuth 2.0,OAuth 2.0 and OpenID Connect (in plain English),OktaDev,DONE
SQL Joins,SQL Joins Explained,Sqlpad,DONE
Big O Notation,Introduction to Big O Notation and Time Complexity,CS Dojo,DONE
Rust Lifetimes,Rust Lifetimes Explained,Let's Get Rusty,DONE
Git Merging vs Rebasing,Git Merge vs Rebase,Atlassian,DONE
Dependency Injection,What is Dependency Injection?,Tech Hustler,DONE
JSON Web Tokens,What Is JWT and Why Should You Use JWT,Web Dev Simplified,DONE
Redux State Management,Redux Tutorial - Learn Redux from Scratch,Programming with Mosh,DONE
Kubernetes Architecture,Kubernetes Explained in 15 Mins,TechWorld with Nana,DONE
Linked Lists,Data Structures: Linked Lists,HackerRank,DONE
Trees and Graphs,Data Structures: Trees,HackerRank,DONE
Heaps,Data Structures: Heaps,HackerRank,DONE
Stacks and Queues,Data Structures: Stacks and Queues,HackerRank,DONE
Tries,Data Structures: Tries,HackerRank,DONE
Graph Traversals (BFS & DFS),Graph Traversals - BFS & DFS,Abdul Bari,DONE
Kruskal's Algorithm,Kruskal's Algorithm,Abdul Bari,DONE
Prim's Algorithm,Prim's Algorithm,Abdul Bari,DONE
Merge Sort,Merge Sort,CS50,DONE
Bubble Sort,Bubble Sort,CS50,DONE
